"","area","area_title","area_type","naics","naics_title","i_group","own_code","occ_code","occ_title","o_group","tot_emp","emp_prse","jobs_1000","loc_quotient","pct_total","h_mean","a_mean","mean_prse","h_pct10","h_pct25","h_median","h_pct75","h_pct90","a_pct10","a_pct25","a_median","a_pct75","a_pct90","annual","hourly"
"1","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","00-0000","All Occupations","total","982040","0.8","1000","1",NA,"23.2","48250","0.9","10.33","13.07","18.46","28.16","40.450000000000003","21480","27190","38390","58580","84140",NA,NA
"2","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-0000","Management Occupations","major","52180","1.5","53.131999999999998","0.97",NA,"48.46","100800","0.9","20.29","29.29","42.72","59.7","82.46","42210","60930","88850","124170","171520",NA,NA
"3","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-1011","Chief Executives","detailed","1380","6.1","1.407","1",NA,"97.99","203810","3.2","32.46","57.4","97.54","#","#","67510","119390","202890","#","#",NA,NA
"4","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-1021","General and Operations Managers","detailed","15200","2.7","15.483000000000001","0.95",NA,"47.84","99520","1.2","18.920000000000002","27.41","39.92","59.62","88.34","39360","57010","83040","124010","183740",NA,NA
"5","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-1031","Legislators","detailed","1340","13.7","1.369","3.85",NA,"*","37100","13.2","*","*","*","*","*","19290","19790","20500","36470","94100","TRUE",NA
"6","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-2011","Advertising and Promotions Managers","detailed","130","14.7","0.13600000000000001","0.8",NA,"53.29","110850","9.1","24.56","31.73","43.65","58.8","#","51090","66000","90790","122300","#",NA,NA
"7","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-2021","Marketing Managers","detailed","1440","5","1.4670000000000001","0.82",NA,"49.58","103120","1.9","26.49","32.200000000000003","44.6","60.32","79.41","55100","66980","92770","125470","165180",NA,NA
"8","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-2022","Sales Managers","detailed","2240","4.8","2.2770000000000001","0.83",NA,"52.72","109660","2.5","24.35","33.380000000000003","46.52","64.42","88.99","50650","69420","96770","133980","185090",NA,NA
"9","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-2030","Public Relations and Fundraising Managers","detailed","640","10.1","0.65200000000000002","1.21",NA,"44.73","93040","4.7","22.86","27.83","39.82","54.81","72.349999999999994","47560","57880","82820","114010","150480",NA,NA
"10","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-3010","Administrative Services and Facilities Managers","detailed","2170","3.6","2.2120000000000002","1.06",NA,"43.57","90630","1.6","23.87","29.7","40.11","52.44","69.64","49650","61770","83440","109070","144850",NA,NA
"11","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-3021","Computer and Information Systems Managers","detailed","2680","4.9000000000000004","2.7280000000000002","0.92",NA,"59.03","122790","1.4","35.840000000000003","45.24","57.28","71.62","84.02","74540","94110","119140","148960","174750",NA,NA
"12","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-3031","Financial Managers","detailed","3940","4.5999999999999996","4.016","0.9",NA,"55.99","116450","1.8","27.35","35.880000000000003","48.54","66.8","94.57","56880","74630","100960","138940","196700",NA,NA
"13","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-3051","Industrial Production Managers","detailed","1210","5.0999999999999996","1.232","0.97",NA,"48.77","101440","1.6","28.77","35.590000000000003","44.94","57.99","74.650000000000006","59840","74030","93480","120610","155270",NA,NA
"14","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-3061","Purchasing Managers","detailed","370","5.0999999999999996","0.373","0.76",NA,"49.94","103870","1.9","30.13","35.74","47.59","60.97","75.92","62680","74340","98980","126820","157910",NA,NA
"15","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-3071","Transportation, Storage, and Distribution Managers","detailed","1450","5.9","1.4710000000000001","1.64",NA,"48.46","100800","5.8","26.45","35.32","48.14","60.8","72.3","55020","73470","100120","126450","150380",NA,NA
"16","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-3111","Compensation and Benefits Managers","detailed","160","9.3000000000000007","0.16500000000000001","1.44",NA,"53.4","111070","3.5","31.61","39.96","47.18","59.87","80.31","65750","83110","98140","124530","167030",NA,NA
"17","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-3121","Human Resources Managers","detailed","1090","5.6","1.109","1.05",NA,"51.05","106190","1.7","28.85","37.369999999999997","46.55","60.05","77.72","60020","77730","96820","124910","161650",NA,NA
"18","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-3131","Training and Development Managers","detailed","450","5.6","0.46300000000000002","1.76",NA,"47.12","98010","2.5","28.95","36.46","45.34","54.68","69.3","60210","75840","94310","113740","144150",NA,NA
"19","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9013","Farmers, Ranchers, and Other Agricultural Managers","detailed","190","32.799999999999997","0.191","5.54",NA,"31.34","65180","9","16.29","25.09","29.39","36.31","46.4","33880","52180","61130","75530","96500",NA,NA
"20","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9021","Construction Managers","detailed","2820","6.8","2.8679999999999999","1.44",NA,"44.03","91580","2.6","25.22","30.78","39.28","49.68","66.959999999999994","52460","64020","81700","103340","139280",NA,NA
"21","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9031","Education and Childcare Administrators, Preschool and Daycare","detailed","360","19","0.371","1.04",NA,"25.24","52510","5.3","14.23","16.86","22.29","30.28","38.96","29600","35080","46360","62990","81050",NA,NA
"22","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9032","Education Administrators, Kindergarten through Secondary","detailed","1890","3.9","1.9219999999999999","1.04",NA,"*","106380","1.1000000000000001","*","*","*","*","*","78330","89230","102720","122320","143970","TRUE",NA
"23","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9033","Education Administrators, Postsecondary","detailed","940","6.7","0.96","0.97",NA,"54.01","112340","6.4","27.28","33.56","44.47","61.66","96.16","56740","69810","92490","128250","200010",NA,NA
"24","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9039","Education Administrators, All Other","detailed","110","14.1","0.111","0.36",NA,"46.72","97170","3.5","20.18","39.86","47.53","56.67","64.17","41970","82910","98860","117870","133470",NA,NA
"25","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9041","Architectural and Engineering Managers","detailed","720","5.5","0.73799999999999999","0.56000000000000005",NA,"59.62","124010","1.4","40.14","47.59","59.21","71.47","82.16","83490","98990","123150","148650","170880",NA,NA
"26","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9051","Food Service Managers","detailed","2050","7.8","2.0830000000000002","1.3",NA,"23.78","49460","3.5","14.06","17.13","22.39","28.4","35.340000000000003","29250","35630","46560","59070","73520",NA,NA
"27","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9071","Gambling Managers","detailed","30","40.6","3.3000000000000002E-2","1.08",NA,"29.14","60600","15.5","14.73","21.3","24.7","33.25","37.32","30630","44300","51380","69170","77630",NA,NA
"28","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9081","Lodging Managers","detailed","230","16.600000000000001","0.23100000000000001","0.88",NA,"26.78","55710","8.3000000000000007","14.12","16.93","25.75","35.19","45.18","29380","35210","53570","73200","93980",NA,NA
"29","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9111","Medical and Health Services Managers","detailed","2640","4","2.6909999999999998","1",NA,"57","118560","2.2999999999999998","30.57","38.35","49.37","62.63","96.7","63590","79760","102680","130270","201130",NA,NA
"30","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9121","Natural Sciences Managers","detailed","260","34.799999999999997","0.26100000000000001","0.56999999999999995",NA,"44.81","93200","3","27.71","32.85","43.5","54.54","63.98","57640","68320","90490","113440","133070",NA,NA
"31","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9131","Postmasters and Mail Superintendents","detailed","160","0","0.158","1.67",NA,"36.47","75860","0.7","30.76","33.24","34.75","40.340000000000003","44.1","63970","69130","72280","83910","91720",NA,NA
"32","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9141","Property, Real Estate, and Community Association Managers","detailed","950","11.4","0.96799999999999997","0.64",NA,"34.26","71270","8.9","15.5","20.03","25.27","38.43","69.180000000000007","32240","41660","52560","79940","143900",NA,NA
"33","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9151","Social and Community Service Managers","detailed","800","7.9","0.81200000000000006","0.76",NA,"29.64","61660","2.5","17.82","22.92","28.97","34.72","41.55","37070","47680","60260","72220","86410",NA,NA
"34","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9161","Emergency Management Directors","detailed","130","9.1","0.13100000000000001","1.92",NA,"29.58","61520","3.9","13.79","19.649999999999999","24.58","34.44","54.63","28670","40880","51130","71630","113630",NA,NA
"35","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9171","Funeral Home Managers","detailed","60","37.9","6.5000000000000002E-2","1.01",NA,"56.29","117080","24.2","25.81","28.4","35.51","59.56","#","53680","59070","73860","123880","#",NA,NA
"36","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","11-9198","Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other","detailed","1940","6","1.9790000000000001","0.62",NA,"45.49","94620","3.1","21.22","28.22","41.37","58.9","73.86","44140","58700","86050","122500","153620",NA,NA
"37","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","13-0000","Business and Financial Operations Occupations","major","49230","2","50.134","0.9",NA,"32.44","67480","1","17.559999999999999","22.52","29.42","38.700000000000003","49.86","36520","46850","61190","80500","103700",NA,NA
"38","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","13-1020","Buyers and Purchasing Agents","detailed","2370","6","2.415","0.84",NA,"30.87","64210","1.7","18.170000000000002","22.29","28.53","37.450000000000003","47.68","37780","46370","59350","77890","99180",NA,NA
